tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8553,NA,PIEN,16.3,16.7,H,20.1,-,-,T,2,I,A,S,-,-,90,90,0,N,-,,2026-08-08,,,
8554,NA,PIEN,5.3,5.4,H,8.3,-,-,T,2,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8555,NA,PICO,19.4,19.2,H,29.8,-,-,T,4,C,A,S,-,-,100,90,0,N,-,,2026-08-08,,,
8556,NA,PIEN,2.0,-,T,3.1,3.1,-,C,1,S,A,S,10% yellow,-,100,90,0,N,-,,2026-08-08,,,
8557,NA,PIEN,10.9,11.3,H,12.1,-,-,T,2,I,A,S,-,-,100,80,0,N,-,,2026-08-08,,,
8558,NA,ABLA,2.3,-,T,3.3,3.3,-,C,2,S,A,S,BW 5% yellow,-,100,100,0,Y,-,light BW,2026-08-08,,,
8559,NA,PIEN,18.2,18.4,H,24.5,-,-,T,4,C,A,S,sappy BW,-,100,100,0,Y,-,,2026-08-08,,,
8560,NA,PIEN,14.4,14.4,H,20.4,-,-,T,2,I,A,S,sappy,-,100,80,0,N,1,,2026-08-08,,,
8561,NA,PICO,18.5,18.7,H,23.3,-,-,T,4,C,A,S,-,-,90,80,0,N,-,,2026-08-08,,,
8562,NA,ABLA,13.9,14.2,H,16.7,-,-,T,2,I,D,L,sappy 100% red crack,-,0,20,10,N,1,,2026-08-08,,,
8563,NA,PIEN,5.3,5.2,H,5.3,5.4,-,C,1,S,A,S,-,-,90,80,0,N,-,shares base with 8564,2026-08-08,,,
8564,NA,PIEN,7.2,7.0,H,8.5,-,-,T,1,S,A,S,-,-,80,80,0,N,-,shares base with 8563,2026-08-08,,,
8565,NA,PIEN,15.1,15.3,H,20.4,-,-,T,3,I,A,S,-,-,90,80,0,N,-,,2026-08-08,,pct_crown,"% Crown has an overwritten digit (98 / 90) - entered 90, confirm"
8566,NA,PIEN,4.3,-,T,3.1,3.1,-,C,1,S,A,S,-,2.8,30,90,0,N,-,,2026-08-08,,pct_leaves,"% Leaves overwritten (10 / 90) - entered 90, confirm"
8567,NA,PIEN,10.8,10.3,H,15.2,-,-,T,2,I,A,S,-,-,90,70,0,N,-,,2026-08-08,,,
8568,NA,PIEN,14.6,14.7,H,17.9,-,-,T,3,I,A,S,-,-,70,80,0,N,-,,2026-08-08,,,
8569,NA,PIEN,5.5,-,T,5.7,5.5,-,C,1,S,A,L,-,-,90,90,10,N,-,,2026-08-08,,,
